artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Ed Sheeran;Antisocial (with Travis Scott);161746;2019;151.957;pop;0.823;5;-5.313
Avicii;Waiting For Love;230613;2015;127.999;pop, Dance/Electronic;0.736;6;-3.863
Girls Aloud;Jump;220360;2003;134.465;pop, Dance/Electronic;0.826;8;-6.031
Debelah Morgan;Dance with Me;220106;2000;115.005;pop, R&B;0.674;7;-7.981
The Goo Goo Dolls;Here Is Gone;238173;2002;102.192;pop, rock;0.685;1;-5.178
T.I.;What You Know;274333;2006;73.464;hip hop, pop;0.81;11;-4.365
Kanye West;Touch The Sky;236600;2005;98.56;hip hop;0.846;9;-4.912
Céline Dion;That's the Way It Is;241373;1999;93.04;pop;0.886;9;-5.424
SAYGRACE;You Don't Own Me (feat. G-Eazy);199314;2015;186.394;pop, R&B;0.664;7;-5.68
Gym Class Heroes;Ass Back Home (feat. Neon Hitch);222213;2011;130.034;hip hop, pop;0.838;10;-4.289
Flo Rida;I Don't Like It, I Love It (feat. Robin Thicke & Verdine White);224258;2015;118.004;hip hop, pop;0.766;9;-4.697
Billie Eilish;bury a friend;193143;2019;120.046;pop, Dance/Electronic;0.389;8;-14.505
